user_id,clip_duration,media_platform,age_new,day,tt,ad_complete,ad_brand_cat,genre_new,gender_new,l_ad_stop,u_ad_stop
292,180,MOBILE WEB,40,Fri,23,0,food,entertainment,Female,3.75,7.5
293,212,MOBILE WEB,50,Thu,15,0,drink,sports,Male,7.5,11.25
294,117,MOBILE WEB,60,Mon,9,0,corporation,sports,Male,7.5,11.25
295,232,MOBILE APP,10,Mon,22,0,government,entertainment,Female,3.75,7.5
296,98,MOBILE WEB,20,Sat,21,0,food,drama,Female,0,3.75
297,127,MOBILE WEB,20,Sat,20,0,health_food,entertainment,Female,3.75,7.5
298,688,PC WEB,30,Mon,14,1,drink,sports,Female,11.25,15
299,80,PC WEB,60,Thu,22,0,food,drama,Female,7.5,11.25
300,180,MOBILE WEB,30,Sun,5,1,government,entertainment,Female,11.25,15
301,61,MOBILE WEB,40,Sat,21,0,drink,drama,Female,7.5,11.25
302,151,MOBILE WEB,30,Tue,16,0,drink,entertainment,Male,3.75,7.5
303,65,MOBILE WEB,40,Sun,17,0,drink,sports,Male,3.75,7.5
304,213,MOBILE WEB,20,Thu,23,0,pet,drama,Female,7.5,11.25
305,110,MOBILE WEB,30,Mon,23,0,drink,entertainment,Male,3.75,7.5
306,185,MOBILE WEB,20,Wed,23,0,health_food,drama,Female,0,3.75
307,194,MOBILE WEB,30,Mon,8,0,government,entertainment,Female,11.25,15
308,323,MOBILE WEB,40,Tue,10,0,pet,sports,Male,3.75,7.5
309,64,MOBILE WEB,20,Tue,13,1,drink,sports,Female,11.25,15
310,152,MOBILE WEB,20,Sat,12,0,drink,sports,Male,3.75,7.5
311,265,MOBILE WEB,10,Mon,4,0,health_food,entertainment,Female,3.75,7.5
312,131,MOBILE WEB,30,Wed,16,1,drink,sports,Male,11.25,15
313,67,MOBILE WEB,50,Tue,13,0,corporation,sports,Male,7.5,11.25
314,194,MOBILE WEB,40,Mon,15,0,movie,entertainment,Female,3.75,7.5
315,194,MOBILE WEB,20,Mon,0,0,food,entertainment,Male,3.75,7.5
316,299,MOBILE WEB,50,Sun,10,1,drink,sports,Male,11.25,15
317,80,MOBILE WEB,10,Fri,14,0,health_food,entertainment,Female,0,3.75
318,147,MOBILE APP,30,Mon,0,0,food,entertainment,Female,7.5,11.25
319,114,MOBILE WEB,20,Wed,23,0,medicine,drama,Female,3.75,7.5
320,88,MOBILE WEB,30,Sat,11,0,health_food,sports,Male,3.75,7.5
321,67,MOBILE WEB,30,Thu,8,1,corporation,sports,Male,11.25,15
322,170,MOBILE WEB,30,Mon,7,0,drink,sports,Male,3.75,7.5
323,148,MOBILE WEB,30,Tue,11,0,government,drama,Female,3.75,7.5
324,152,MOBILE WEB,30,Mon,20,0,health_food,drama,Female,7.5,11.25
325,188,MOBILE WEB,30,Mon,10,0,health_food,drama,Male,3.75,7.5
326,64,MOBILE WEB,40,Tue,12,0,corporation,sports,Male,3.75,7.5
327,174,MOBILE APP,10,Tue,22,0,education,entertainment,Female,3.75,7.5
328,146,MOBILE WEB,30,Tue,23,0,drink,information,Female,3.75,7.5
329,176,MOBILE WEB,30,Fri,8,0,medicine,drama,Female,3.75,7.5
330,93,MOBILE WEB,30,Thu,12,0,drink,sports,Male,3.75,7.5
331,105,MOBILE WEB,50,Tue,21,0,corporation,entertainment,Male,3.75,7.5
332,112,MOBILE WEB,20,Mon,1,0,electronics,entertainment,Male,3.75,7.5
333,72,MOBILE WEB,30,Wed,14,0,corporation,sports,Male,3.75,7.5
334,182,MOBILE WEB,10,Mon,11,0,health_food,drama,Female,3.75,7.5
335,93,MOBILE WEB,30,Sun,15,0,movie,entertainment,Female,3.75,7.5
336,174,MOBILE WEB,40,Tue,13,0,corporation,sports,Male,3.75,7.5
337,116,MOBILE WEB,30,Sat,17,0,corporation,sports,Male,3.75,7.5
338,154,MOBILE WEB,10,Tue,18,0,man,entertainment,Male,3.75,7.5
339,72,MOBILE WEB,30,Wed,12,1,drink,sports,Male,11.25,15
340,145,MOBILE WEB,10,Mon,10,0,movie,entertainment,Female,3.75,7.5
341,145,MOBILE WEB,40,Sun,14,1,food,entertainment,Female,11.25,15
342,532,MOBILE WEB,30,Fri,14,0,drink,sports,Male,3.75,7.5
343,166,MOBILE APP,20,Tue,6,0,medicine,entertainment,Female,7.5,11.25
